S/NO,County,Subcounty,Education zone,,,School Name/Learning Institution,GPS Cordinate (Latitudes),GPS Cordinate (Longtitudes),Type of school2_Boys; Girls; Mixed,TSC Code,KNEC Code,MOE Code/ Nemis Code,Sponsor, Land area_ acres,"Level_ Pre primary, Primary, Secondary, Special needs, technical colleges,  Diploma Teacher colleges, Certificate Teacher colleges,  University","Type of school1_ Public, Private, Informal","Type of school1_ Public, Private, Informal","Registered, Not registered",,Type of school3_Day; Boarding; Both,"Type of school4_Regular, Integrated, Special Needs School",Enrolment,,,TSC Teachers,,County government (e.g. for Pre primary),,BOM/PTA,,"Total Human resources (Teaching staff , Tsc, BOM/PTA, County)",,,Human resources: Curriculum support, Human resources: Non-Teaching staff,"Infrastructure ( No of classrooms, Labs, Boys toilets, Girls Toilets)",,,,,,,,KCPE (for primary),KCSE (Secondary),PRINCIPALS'CONTACTS 
,,,,Constituency,Ward,,,,,,,,,,,,,,,,,Boys,Girls,Total,Male,female,Male,female,Male,female,TSC,BOM/PTA,Total,,,Classrooms: Permanent,temporary,Laboratories: Permanent,temporary,Boys Toilets: Permanent,temporary,Girls Toilets: Permanent,temporary,,,
201,MAKUENI,MUKAA,Kasikeu,Kilome,Kasikeu,St. Regina Kiou,-1.942023,37.319969,Mixed,147014043368,18347420,JNJ2,Catholic,0.58Ha,Secondary,Public,Public,Registered,,Day,Regular,29,52,81,5,1,0,0,1,1,6,2,8,"TSC/MOE, KSSHA, MOE/KSSHA, SMASSE,CEMASTEA",3,4,0,0,0,3,0,2,0,N/A,3.05263,722875829
202,MAKUENI,MUKAA,Mumela,Kilome,Kasikeu,ABC Kayata,-1.899624,37.360752,Girls,147014043164,18347412,NZGE,ABC,0.53 Acres,secondary,Public,Public,Registered,,Day&boarding,Regular,0,160,160,1,5,0,0,2,1,6,3,9,"Approve Counsellor, CQASO,TSC Officers",8,4,0,1,0,0,0,8,0,N/A,3.081081,721554306
203,MAKUENI,MUKAA,Mumela,Kilome,Kasikeu,Masokani,-1.91883,37.414067,Mixed,147014043163,18347414,2BVS,AIC,3 Acres,Secondary,Public,Public,Registered,,Day&boarding,Regular,104,159,263,6,2,0,0,2,0,8,2,10,"SCDE, TSC-CD, CDE&TSC-CD, TSC",9,4,0,1,0,5,0,8,0,N/A,4.3,721561104
204,MAKUENI,MUKAA,Kasikeu,Kilome,Kasikeu,Enguli,-1.940804,37.361311,Mixed,147014043047,18347403,HNVA,ABC,3.01Ha,Secondary,Public,Public,Registered,,Day&boarding,Regular,146,96,242,5,8,0,0,1,0,13,1,14,"TSC, MOEST, MOEST",11,8,0,1,0,8,0,10,0,N/A,3.372881,712094707
205,MAKUENI,MUKAA,Mumela,Kilome,Kasikeu,Nduluni,-1.886645,37.387573,Mixed,147014043134,18347412,SKPJ,AIC,3.5 Acres,Secondary,Public,Public,Registered,,Day&boarding,Regular,440,325,765,14,4,0,0,7,2,18,9,27,"MOH, TSC&MOE",14,13,0,1,0,12,0,13,0,N/A,6.427,727975690
206,MAKUENI,MUKAA,Mumela,Kilome,Kasikeu,Mumela,-1.895013,37.452692,Mixed,147014043002,18347416,RX2X,AIC,5 Acres,Secondary,Public,Public,Registered,,Day,Regular,63,58,121,5,2,0,0,1,1,7,2,9,"SQASO, CQASO",3,4,0,1,0,4,0,4,0,N/A,3.364,715676617
207,MAKUENI,MUKAA,Kiimakiu,Kilome,kalanzoni/Kiimakiu,Ulu,-1.811691,37.14931,Mixed,14701403363,18347524,8EMR,AIC,0.4 Ha,Secondary,Public,Public,Registered,,Day,Regular,111,90,201,4,2,0,0,0,2,6,2,8,TSC-SCD,4,4,1,1,0,8,0,8,0,N/A,6.3,721471561
208,MAKUENI,MUKAA,Mukaa,Kilome,Mukaa/Kitaingo,AIC Matiani,-1.797786,37.305013,Girls,147014043385,18347525,J8VZ,AIC,10 Acres,Secondary,Public,Public,Registered,,Day&boarding,Regular,0,201,201,1,4,0,0,2,1,5,3,8,"Area County CSO, Area DQASO, Area TSC Director, Area County Director, Ares sub-County Director",6,4,0,1,0,0,0,0,6,N/A,2.04761,720269741
209,MAKUENI,MUKAA,mukaa,Kilome,mukaa,Mt. Camel,-1.794377,37.33142,Girls,147014043215,18347507,P939A,Catholic,2 Acres,Secondary,Public,Public,Registered,,Day&boarding,Regular,0,184,184,2,4,0,0,2,1,6,3,9,SCQASO,7,6,0,2,0,0,0,18,0,N/A,2.7209,726263333
210,MAKUENI,MUKAA,Mumela,Kilome,Kasikeu,Mbiini,-1.900011,37.343385,Boys,147014043093,18347410,C82J,AIC,4.046Ha,Secondary,Public,Public,Registered,,Day&boarding,Regular,225,0,225,8,4,0,0,2,0,12,2,14,KNEC,9,7,0,2,0,16,0,0,0,N/A,3.049,721421599
211,MAKUENI,MUKAA,Mukaa,Kilome,Mukaa,S.A Maiani,-1.854226,37.280411,Girls,147014043019,18347522,8PEH,Salvation Army,3.88 Acres,Secondary,Public,Public,Registered,,Boarding,Regular,0,428,428,0,7,0,0,4,3,7,7,14,"Sub County Public Works Officer, Sub-County works officer, Sub County Quality Assurancence,SCDE, SSA, SDE",15,9,0,2,0,0,0,20,0,N/A,3.69014,728990563
212,MAKUENI,MUKAA,Kiimakiu,Kilome,Kiimakiu,Kiu,-1.89345,37.166378,Mixed,147014043122,18347514,938P,AIC,5.3 Acres,Secondary,Public,Public,Registered,,Day&boarding,Regular,216,211,427,8,6,0,0,3,1,14,4,18,"SCSA/CSA, SCQSO, NEMA, CPHO",14,8,0,2,0,10,0,12,0,N/A,4.461,722944286
213,MAKUENI,MUKAA,Mukaa,Kilome,Mukaa,Kitaingo,-1.844674,37.364067,Boys,147014043120,18347505,5KJY,AIC,0.75Ha,Secondary,Public,Public,Registered,,Boarding,Regular,220,0,220,6,5,0,0,2,0,11,2,13,"QIA, Subject Heads, TSC, Professionals",9,9,0,3,0,12,0,0,0,N/A,5.6389,723772270
214,MAKUENI,MUKAA,Mukaa,Kilome,mukaa,Mukaa Boys,-1.83392,37.326967,Boys,147014043004,18347501,JC4P,AIC,11 Acres,Secondary,Public,Public,Registered,,Boarding,Regular,1602,0,1602,28,12,0,0,9,3,40,12,52,"MOE, TSC, KNEC",47,25,0,3,0,61,0,0,0,N/A,6.889,713760188
215,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Kiambani,-1.949217,37.799055,Mixed,NEW,NEW,2UFP,CEB,1.85 Ha,Secondary,Sub County,Public,Registered ,,Day,Regular,170,0,170,19,10,0,0,3,2,29,5,34,"QASO, SCDE,TSC-CD ",25,15,0,3,0,27,0,0,0,N/A,,724146713
218,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,ACK Ilatu,-2.359055,37.852339,Mixed,3331,18348118,ETG8,ACK,65.4 Ha,Secondary,Sub County,Public,Registered ,,Day,Regular,144,114,258,3,5,0,0,1,4,8,5,13,"QASOS, Field Officers, PHOS",8,6,0,2,0,8,0,8,0,N/A,2.41,721808996
219,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Ngomano,-2.10272,37.749341,Mixed,3121,18348108,A4HN,Catholic,2.99 Ha,Secondary,Sub County,Public,Registered ,,Day & Boarding,Regular,58,73,131,3,2,0,0,4,0,5,4,10,SCO,8,4,0,1,0,2,0,2,0,N/A,3.45,722250729
220,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,ST. Annes Kiboko,-2.207728,37.724825,Girls,3130,18348110,PEZH,Catholic,3.94,Secondary,County,Public,Registered ,,Boarding,Regular,0,416,416,7,3,0,0,1,3,10,4,14,"SCDE, SCEO",11,8,0,1,0,0,0,58,0,N/A,5.18,710760751
221,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,ST. Bakhita Makusu,-2.295065,37.942,Mixed,3226,18348117,XSH2,Catholic,10Ha,Secondary,Sub County,Public,Registered ,,Day,Regular,59,59,118,3,4,0,0,3,1,7,4,11,CSO,8,4,0,1,0,5,0,7,0,N/A,2.5,721417541
222,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Shine Stars Kai High,-2.274375,37.882899,Mixed,3001,18348103,3SE9,CEB,7.46 Ha,Secondary,County,Public,Registered ,,Day & Boarding,Regular,289,289,578,11,3,0,0,3,6,14,9,23,CSO,11,12,0,0,0,10,0,7,0,N/A,4.74,721209741
224,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Kangii,-2.159915,37.738257,Mixed,3386,,AUTZ,CEB,1.68 Acres,Secondary,Sub County,Public,Registered ,,Day,Regular,27,26,53,2,1,0,0,3,1,3,4,7,"QASO,KESSHA, MOE QAS, TSC",2,2,0,0,0,1,0,2,0,N/A,3.5,722886908
226,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Ngakaa,-2.126124,37.714169,Mixed,3100,18348109,LAB 2,CEB,15 Ha,Secondary,Sub County,Public,Registered ,,Day & Boarding,Regular,105,79,184,7,4,0,0,1,0,11,1,12,"MOE, TSC",10,5,0,2,0,9,0,11,0,N/A,3.66,721385346
227,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Nguumo,-2.381678,37.904602,Boys,9290,18348113,34SZ,ACK,14 Acres,Secondary,Sub County,Public,Registered ,,Day & Boarding,Regular,431,0,431,7,5,0,0,1,5,11,6,17,TSC&MOE,13,10,0,3,0,20,0,0,0,N/A,3.92,726295499
228,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Moi Girls-Kibwezi,-2.323163,37.859869,Girls,3140,18348112,8PR7,AIC,53 Acres,Secondary,Extra County,Public,Registered ,,Boarding,Regular,0,718,718,13,13,0,0,4,2,26,6,32,MOE ,22,16,0,3,0,0,0,38,0,N/A,4.64,728110624
229,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Makindu,-2.266295,37.822904,Boys,3034,18348101,G664,Catholic,9.21 Ha,Secondary,Extra County,Public,Registered ,,Boarding,Regular,662,0,662,13,11,0,0,7,1,24,8,42,"MOE, TSC, KESSHA",19,15,0,5,0,38,0,0,0,N/A,6.37,721438187
230,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Masalani,-2.170395,37.856017,Mixed,3284,18348128,E235,CEB,2.0 Acres,Secondary,Sub County,Public,Registered ,,Day,Regular,64,49,113,2,1,0,0,2,1,3,3,6,SCDE,2,3,0,0,0,2,0,2,0,N/A,2.66,722247570
232,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Mitendeu,-2.13198,37.743466,Mixed,3389,18348127,EA2V,CEB,7 Acres,Secondary,Sub County,Public,Registered ,,Day,Regular,31,32,63,2,1,0,0,4,1,3,5,8,"MOE, TSC, SCDE",2,4,0,0,0,2,0,6,0,N/A,2.68,711161434
234,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Syumile,-2.280535,37.923669,Mixed,3201,18348115,38JW,AIC,3.91 Ha,Secondary,Sub County,Public,Registered ,,Day & Boarding,Regular,171,196,367,7,3,0,0,2,2,10,4,11,"QAO, TSC, MOE",9,7,0,1,0,12,0,12,0,N/A,3.42,714660224
235,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Mukameni ,-2.331816,37.857985,Mixed,3156,18348114,ZEPQ,Catholic,6 Acres,Secondary,Sub County,Public,Registered ,,Day & Boarding,Regular,330,351,681,13,4,0,0,3,4,17,7,24,CDE,11,12,0,1,0,6,0,12,0,N/A,4.26,727749349
236,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Nthia,-2.169401,37.784052,Mixed,3271,18348119,QYLR,Catholic,4 Acres,Secondary,Sub County,Public,Registered ,,Day & Boarding,Regular,99,69,168,4,3,0,0,2,3,7,5,12,TSC,6,4,0,1,0,5,0,5,0,N/A,3.96,
237,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Nguumo,-2.381678,37.904602,Girls,3324,18348120,9FRS,CEB,15 Acres,Secondary,County,Public,Registered ,,Boarding,Regular,0,497,497,4,5,0,0,2,7,9,9,18,"MOEST, TSC",14,10,0,0,0,0,0,21,0,N/A,4.09,720931025
239,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Salama,-2.277555,37.823928,Mixed,3369,18348125,TYPU,CEB,2.45 Ha,Secondary,Sub County,Public,Registered ,,Day ,Regular,170,162,332,7,4,0,0,0,0,11,0,11,"TSC, SCDE, MOH, MOE",4,5,3,1,0,10,0,10,0,N/A,3.18,720499390
240,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Katulani,-1.492471,37.949732,Mixed,3355,19348122,3LV4,CEB,2.32 Acres,Secondary,Sub County,Public,Registered ,,Day,Regular,12,26,38,3,2,0,0,0,4,5,4,9,"SCDE, SQASO",2,0,4,0,0,2,0,4,0,N/A,4,720491289
241,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Kisingo,-2.245946,37.857429,Mixed,3238,18348107,3Q8W,CEB,05.11 Ha,Secondary,Sub County,Public,Registered ,,Day & Boarding,Regular,96,183,279,6,5,0,0,1,0,11,1,12,"MOE, SCDE",9,6,0,1,0,8,0,5,0,N/A,3.83,721553726
242,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Makindu Girls,-1.803145,37.623873,Girls,3101,18348102,75DH,AIC,10.09 Ha,Secondary,County,Public,Registered ,,Boarding,Regular,0,139,139,6,4,0,0,4,2,10,6,16,"TSC, MOEST, KICD ",12,8,0,2,0,0,0,44,0,N/A,,725096977
243,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Kamboo,-2.196301,37.903329,Mixed,3155,18348104,AAMS,CEB,15 Ha,Secondary,Sub County,Public,Registered ,,Day & Boarding,Regular,55,56,111,3,4,0,0,0,0,7,0,7,"QASO, KNEC, ",2,6,0,1,0,4,0,4,0,N/A,3.25,725435014
245,Makueni,Makindu,kiboko ,Kibwezi West,Makindu,Kiambani,-1.95066,37.799547,Mixed,NEW,NEW,2UFP ,CEB,1.85 ha,Secondary,Sub County,Public,Registered ,,Day,Regular,29,22,51,0,0,0,0,2,0,1,2,3,CSO,1,2,0,0,0,3,0,2,0,N/A,NEW,721358942
246,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Yimwaa ,-2.165214,37.825873,Mixed,3371,18348111,LW7T,CEB,6.81 Ha,Secondary,Sub County,Public,Registered ,,Day,Regular,49,90,139,4,2,0,0,2,1,6,3,9,"CSQASO, TSC, SCD",5,0,4,0,0,6,0,10,0,N/A,3.19,721988836
247,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Kalii,-2.129334,37.768775,Mixed,NEW,NEW,E9TE,CEB,2.3 Ha ,Secondary,Sub County,Public,Registered ,,Day,Regular,2,11,13,0,1,0,0,2,0,1,2,3,"TSC, DQUASO",0,1,1,0,0,3,0,3,0,N/A,NEW,733262302
248,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Kanaani,-2.242742,37.752318,Mixed,NEW,NEW,ANJR,CEB,15.75 Acres,Secondary,Sub County,Public,Registered ,,Day,Regular,41,24,65,0,1,0,0,1,1,1,2,3,"SCDE, TSC, SCQASO",2,4,0,0,0,3,0,3,0,N/A,NEW,722330883
249,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Ndindi ,0,0,Mixed,NEW,NEW,EYGP,CEB,,Secondary,Sub County,Public,Registered ,,Day,Regular,13,8,21,1,0,0,0,1,,1,1,2,SCQASO,1,2,0,0,0,3,0,4,0,N/A,NEW,724724899
250,MAKUENI,Mbooni East,Kiteta,Mbooni,Kisau/Kiteta,Ngaa,-1.589574,37.52937,Mixed,3261,18346125,TT79,AIC,2.08 Ha,Secondary,Public,Public,Registered,,Day,Regular,81,77,158,3,5,0,0,0,1,8,1,9,"QASO, Sub-County",4,4,0,1,0,3,0,3,0,N/A,,723359948
251,MAKUENI,Mbooni East,Waia,Mbooni,Waia/Kako,Kyang'ondu,-1.631138,37.59227,Mixed,3175,18346117,H3VJ,CEB,0.70 Ha,Secondary,Public,Public,Registerd,,Day&Boarding,Regular,340,234,574,6,9,0,0,3,5,15,8,23,"QUASO, BOM, SCDE, TSC SCDE, School Auditors",9,10,0,2,0,12,0,12,0,N/A,8.73,710864334
252,MAKUENI,Mbooni East,Kiteta,Mbooni,Kisau/Kiteta,Muluti,-1.56346,37.522497,Mixed,147014043023,,8RQC,CBC,0.25Ha,Secondary,Public,Public,Registeed,,Day,Regular,50,36,86,3,0,0,0,2,2,3,4,7,,2,4,0,0,0,1,0,1,0,N/A,,718005902
253,MAKUENI,Mbooni East,Kiteta,Mbooni,Kiteta,Songeni,-1.569674,37.490209,Mixed,147014043224,18346121,JEBT,DEB,0.375Ha,Secondary,Public,Public,Registered,,Day,Regular,53,53,106,5,3,0,0,0,0,8,0,8,SCQASO,4,4,0,1,0,2,0,4,0,N/A,2.923,703115013
254,MAKUENI,Mbooni East,Kisau,Mbooni,Kisau/Kiteta,Kisau Girls,-1.608932,37.574663,Girls,147014043039,18346102,N7W7,Catholic,6.4 Ha,Secondary,Public,Public,Registered,,Boarding,Regular,0,939,939,15,9,0,0,7,3,24,10,34,SCQASO,18,17,0,5,0,0,0,,,N/A,7.78,728757528
255,MAKUENI,Mbooni East,Nduluku,Mbooni,Waia,Itulu,-1.566762,37.500255,Mixed,3184,18346122,ZYJA,AIC,0.3 Ha,Secondary,Public,Public,Registered,,Day,Regular,81,70,151,5,1,0,0,3,1,6,4,10,"SCQASO, TSCSCD,TSCSCD",4,5,0,1,0,4,0,7,0,N/A,3.27,711380028
256,MAKUENI,Mbooni East,Kisau,Mbooni,Kisau/Kiteta,Iviani,-1.609407,37.564132,Mixed,03235,18346127,LD4Y,CEB,0.5 Acre,Secondary,Public,Public,Registered,,Day,Regular,65,64,129,4,3,0,0,1,2,7,3,10,"MOE (SUB-COUNTY), MOE(County), KNEC, TSC Field Officers P.H officers",3,4,1,0,0,3,0,4,0,N/A,2.5,703553797
257,MAKUENI,Mbooni East,Kiteta,Mbooni,Kisau/Kiteta,AIC Ndithini,-1.538554,37.509401,Mixed,3337,18346129,47XK,AIC,1.19 Ha,Secondary,Public,Public,Registered,,Day,Regular,100,89,189,4,2,0,0,1,2,6,2,8,"SCQAO, MOE/TSC, BOM",5,4,0,1,0,3,0,3,0,N/A,,720701298
258,MAKUENI,Mbooni East,Kisau,Mbooni,Kisau/Waia,Kitondo Boys,-1.649363,37.543331,Boys,3018,18346101,X2HR,AIC,9.0 Ha,Secondary,Public,Public,Registered,,Boarding,Regular,694,0,694,19,5,0,0,9,3,24,12,36,"MOE, TSC",25,16,0,5,0,24,0,0,0,N/A,7.46,722480686
259,MAKUENI,Mbooni East,Waia,Mbooni,Waia/Kako,Usalala,-1.63095,37.591752,Mixed,3346,18346130,YRF8,CEB,3.1 Ha,Secondary,Public,Public,Registered,,Day,Regular,72,50,122,4,1,0,0,0,1,6,1,7,"BC Officers, Ministry Officials, Ministry Auditor",2,6,0,1,0,4,0,5,0,N/A,3.09,726502122
260,MAKUENI,Mbooni East,Kiteta,Mbooni,Kiteta,Kiteta Boys,-1.53619,37.490406,Boys,147014043026,18346103,V73Y,AIC,2.64 Ha,Secondary,Public,Public,Registered,,Boarding,Regular,187,0,187,7,3,0,0,2,1,10,4,13,"QASOs, KNEC,TSC,MOE,TSC, MOE, KSSHA",9,8,0,2,0,16,0,0,0,N/A,4.75,710147677
261,MAKUENI,Mbooni East,Waia,Mbooni,waia/Kako,Mba,-1.666127,37.604752,Mixed,30377,18346105,5TYQ,Catholic,1.9,Secondary,Public,Public,Registered,,Day&Boarding,Regular,63,72,135,6,3,0,0,0,0,9,0,9,None,11,8,0,1,0,2,0,2,0,N/A,3.12,727200696
262,MAKUENI,Mbooni East,Waia,Mbooni,Waia/Kako,Kathamba,-1.688212,37.600783,Mixed,3207,18346120,4ZG8,Catholic,1.9 Ha,Secondary,Public,Public,Registered,,Day&Boarding,Regular,63,72,135,6,3,0,0,0,0,9,0,9,MOE,11,8,0,1,0,2,0,2,0,N/A,3.12,727200696
263,MAKUENI,Mbooni East,kako,Mbooni,Kako/Waia,MBIMBINI,-1.733983,37.681832,Mixed,3348,18346131,AYGD,Catholic,5.265Ha,Secondary,Public,Public,Registered,,Day,Regular,58,55,113,4,1,0,0,1,1,5,2,7,SCQASO,3,4,0,0,0,3,0,2,0,N/A,2.13,714428251
264,MAKUENI,Mbooni East,Waia East,Mbooni,Waia/Kako,Kako,-1.700232,37.643412,Mixed,3075,18346123,UE35,Catholic,5 Acres,Secondary,Public,Public,Registered,,Boarding,Regular,117,73,190,9,5,0,0,1,0,14,1,15,"Professionals, Cqaso",11,9,0,2,0,20,0,14,0,N/A,4.12,726926807
265,MAKUENI,Mbooni East,Waia,Mbooni,Waia/Kako,Kikuswi,-1.604868,37.636248,Mixed,3239,18346114,C5N6,CEB,0.81 Acres,Secondary,Public,Public,Registered,,Day,Regular,53,54,109,6,1,0,0,0,1,7,1,8,"SCDQASO, SC TSC Director",3,5,0,0,0,2,0,6,0,N/A,3.07,722973670
266,MAKUENI,Mbooni East,Kalawa,Mbooni,Kalawa,Nganwa,0,0,Mixed,3366,18346214,75U7,Catholic,4.61 Ha,Secondary,Public,Public,Registered,,Day,Regular,117,90,207,4,2,0,0,2,3,6,5,11,"SCQASO, Sub County Pannelist",5,6,0,0,0,3,0,8,0,N/A,2.74,727237378
267,MAKUENI,Mbooni East,Katangini,Mbooni,Kalawa,St. Barnanas Thwake,-1.717545,37.697005,Mixed,3260,18346204,5MYZ,ACK,3.5Ha,Secondary,Public,Public,Registered,,Day,Regular,121,100,221,5,2,0,0,1,1,7,2,9,"QASO, Motivational speakers",5,5,0,0,0,6,0,8,0,N/A,3.57,728362331
268,MAKUENI,Mbooni East,Waia,Mbooni,Kako/Waia,Mituvu,-1.721706,37.619913,Mixed,,,JWHZ,,,Secondary,Public,Public,Registered,,Day&Boarding,Regular,77,138,215,4,2,0,0,0,2,6,2,8,"Education Officers, Education Officers",6,6,0,1,0,5,0,23,0,N/A,3.82,712474883
269,MAKUENI,Mbooni East,Katangini,Mbooni,Kalawa,Mutembuku,-1.699026,37.811828,Mixed,3252,18346211,9YYK,CEB,1.2 Ha,Secondary,Public,Public,Registered,,Day,Regular,74,78,152,7,0,0,0,1,1,7,2,9,"SCQASO, SCTSE, KSSHA",6,4,0,1,0,8,0,10,0,N/A,2.22,723323172
270,MAKUENI,Mbooni East,Kalawa,Mbooni,Kalawa,Kalawa B,-1.688936,37.720168,Boys,3109,18346205,MY29,AIC,4Ha,Secondary,Public,Public,Registered,,Boarding,Regular,328,0,328,10,1,0,0,5,1,11,6,17,"TSC, MOE",10,9,0,2,0,20,0,0,0,N/A,6.43,727660517
271,MAKUENI,Mbooni East,Katangini,Mbooni,Kalawa,St. Angela Meria Ititu Girls,-1.746991,37.723106,Girls,3112,18346202,TKAC,Catholic,4.45Ha,Secondary,Public,Public,Registered,,Boarding,Regular,0,379,379,9,3,0,0,4,2,12,6,18,DQUASO,23,9,0,2,0,0,0,0,28,N/A,4.74,720238863
272,MAKUENI,Mbooni East,Katangini,Mbooni,kalawa/kathulumbi,Chemichemi,0,0,Mixed,3333,18346215,NB83,Catholic,2.5 Ha,Secondary,Public,Public,Registered,,Day& Boarding,Regular,50,48,98,2,3,0,0,3,0,5,3,8,"SCQSO,CEO",2,5,0,0,0,4,0,4,0,N/A,3.12,703132797
273,MAKUENI,Mbooni East,Katangini,Mbooni,Kalawa,Kathulumbi,-1.742626,37.828933,Mixed,6853,18346218,GQNS,ABC,2.4 Ha,Secondary,Public,Public,Registered,,Day& Boarding,Regular,75,96,171,4,4,0,0,0,1,8,1,9,MOE,6,5,0,2,0,6,0,4,0,N/A,4.58,726416357
274,MAKUENI,Mbooni East,Katangini,Mbooni,kalawa,Kitoto,-1.736842,37.789696,Mixed,3111,18346201,579E,AIC,4 Acres,Secondary,Public,Public,Registered,,Day& Boarding,Regular,104,133,237,4,4,0,0,3,1,8,4,12,MOE,10,10,0,2,0,6,0,7,0,N/A,3.55,721628808
275,MAKUENI,Mbooni East,Kisau,Mbooni,Kisau/Kiteta,Ndumbi,-1.687858,37.549211,mixed,,,5ESK,,0.7 Ha,Secondary,Public,Public,Resistered,,Day,Regular,128,131,259,9,2,0,0,0,1,11,1,12,SQASO,6,6,0,1,0,8,0,8,0,N/A,3.6,720539294
276,MAKUENI,Mbooni East,Kalawa,Mbooni,kalawa,Ngunini,-1.626137,37.671035,Mixed,3307,18346210,ALB3,CEB,1.3 Ha,Secondary,Public,Public,Registered,,Day,Regular,105,94,199,4,3,0,0,1,2,7,3,10,"SC Audit unit, SCQASO",3,4,0,1,0,7,0,5,0,N/A,4.32,728963152
277,MAKUENI,Mbooni East,Kalawa,Mbooni,Kalawa,Kavumbu Sec,-1.581509,37.742157,Mixed,3131,18346207,QAZG,Catholic,3.2 Ha,Secondary,Public,Public,Registered,,Day&Boarding,Regular,91,102,193,5,3,0,0,2,0,8,2,10,"SCQUASO, SC Audit unit",9,7,0,1,0,6,0,6,0,N/A,3.88,726388227
278,MAKUENI,Mbooni East,Kalawa,Mbooni,kalawa,Mbukoni,-1.671292,37.688454,Mixed,3194,18346208,GJWA,DEB,1.5 Ha,Secondary,Public,Public,Registered,,Day,Regular,95,97,192,4,3,0,0,3,0,7,3,10,CSO,4,5,0,1,0,2,0,8,0,N/A,2.68,726515197
279,MAKUENI,Mbooni East,Kalawa,Mbooni,kalawa,Kalawa G,-1.687294,37.720763,Girls,3178,18346212,MF4R,CEB,4.5 Ha,Secondary,Public,Public,Registered,,Boarding,Regular,0,212,212,4,4,0,0,1,2,8,3,11,"SCQASO, CSO, SCDE, CDE, Principal Secretary",7,6,0,2,0,0,0,33,0,N/A,5.4,720201530
280,MAKUENI,Mbooni East,Kalawa,Mbooni,kalawa,Kaketi,-1.648594,37.733895,Mixed,3367,18346216,JI5I,ABC,0.4 Ha,Secondary,Public,Public,Registered,,Day,Regular,82,94,176,3,3,0,0,3,0,6,3,9,"MOE, MOE, PH, TSC",4,5,0,0,0,3,0,8,0,N/A,3.35,720563692
281,MAKUENI,Mbooni East,Kalawa,Mbooni,Kalawa,Ngungi,-1.590587,37.69856,Mixed,3197,18346209,8XTX,CEB,2.0 Ha,Secondary,Public,Public,Registered,,Day,Regular,128,120,148,6,2,0,0,2,1,8,3,11,"DQASO, SCDE, TSC-SCD, BOM, P.A",4,6,0,0,0,3,0,4,0,N/A,3.93,718753931
282,MAKUENI,Mbooni East,Waia,Mbooni,Kako/Waia,Miau,-1.666253,37.634103,Mixed,N/A,N/A,RYBP,,0.72 Ha,Secondary,Public,Public,Registered,,Day&Boarding,Regular,119,124,243,3,4,0,0,2,3,7,5,12,,5,7,0,1,0,6,0,8,0,N/A,3.79,713243615
283,MAKUENI,Mbooni East,Kisau,Mbooni,Kisau/Kiteta,Mukimwani,-1.571742,37.560853,Mixed,N/A,N/A,QCSK,,1.5Ha,Secondary,public,public,Registered,,Day&Boarding,Regular,150,228,378,13,3,0,0,0,0,16,2,18,Alumni,13,8,0,3,0,10,0,16,0,N/A,4.98,722698126
284,MAKUENI,Mbooni East,Kisau,Mbooni,Kisau/Kiteta,Kyome,-1.661102,37.555544,Mixed,33888,18346132,3NKT,DEB,0.841Ha,Secondary,Public,Public,Registered,,Day,Regular,24,26,50,3,2,0,0,1,1,5,2,7,"County Schools, Auditor, Quaso-MOE, TSC",2,5,0,0,0,3,0,4,0,N/A,1.75,711934852
285,MAKUENI,Mbooni East,Kiteta,Mbooni,Kisau/Kiteta,Tawa,-1.547285,37.466144,Mixed,3071,18346108,8DAQ,AIC,3Ha,Secondary,Public,Public,Registered,,Day,Regular,219,211,430,8,8,0,0,1,1,16,2,18,SQASO,9,8,0,2,0,8,0,8,0,N/A,4.096,720610551
