S/NO,County,Subcounty,Education zone,,,School Name/Learning Institution,GPS Cordinate (Latitudes),GPS Cordinate (Longtitudes),Type of school2_Boys; Girls; Mixed,TSC Code,KNEC Code,MOE Code/ Nemis Code,Sponsor, Land area_ acres,"Level_ Pre primary, Primary, Secondary, Special needs, technical colleges,  Diploma Teacher colleges, Certificate Teacher colleges,  University","Type of school1_ Public, Private, Informal","Type of school1_ Public, Private, Informal","Registered, Not registered",,Type of school3_Day; Boarding; Both,"Type of school4_Regular, Integrated, Special Needs School",Enrolment,,,TSC Teachers,,County government (e.g. for Pre primary),,BOM/PTA,,"Total Human resources (Teaching staff , Tsc, BOM/PTA, County)",,,Human resources: Curriculum support, Human resources: Non-Teaching staff,"Infrastructure ( No of classrooms, Labs, Boys toilets, Girls Toilets)",,,,,,,,KCPE (for primary),KCSE (Secondary),PRINCIPALS'CONTACTS 
,,,,Constituency,Ward,,,,,,,,,,,,,,,,,Boys,Girls,Total,Male,female,Male,female,Male,female,TSC,BOM/PTA,Total,,,Classrooms: Permanent,temporary,Laboratories: Permanent,temporary,Boys Toilets: Permanent,temporary,Girls Toilets: Permanent,temporary,,,
27,MAKUENI,MAKUENI,Kilala,Makueni,Kaiti,AIC Kinyuani,-1.755829,37.526133,Mixed,147014043353,18307216,WV6S,A.I.C ,1.5Ha,Secondary,Sub county,Public,Registered,,Day,Regular,46,52,98,4,1,0,0,1,2,5,3,8,"M.O.E, M.E.D & TSC",4,4,0,1,1,4,0,4,0,N/A,4,0723 711634
28,MAKUENI,MAKUENI,Kilala,Kaiti,Ukia,Kaumoni Boys,-1.735764,37.576002,Boys,0,0,LTKV,Catholic ,7.903Ha,Secondary,extra County,Public,Registered,,Boarding,Regular,727,0,727,14,10,0,0,1,1,24,2,27,"M.O.E,T.S.C & KNEC",18,12,0,3,0,48,0,0,0,N/A,8.511,0722 658219
29,MAKUENI,MAKUENI,  - ,Kaiti,  -,Kyumu,-1.751707,37.570774,Mixed,147014043110,18307206,9Z2X,ABC Church,5.8Ha,Secondary,Sub county,Public,Registered,,Day,Regular,209,177,386,7,9,0,0,1,0,16,1,17,M.O.E & T.S.C,8,   -,  -,2,0,10,0,10,0,N/A,3.556,0712 844557
30,MAKUENI,MAKUENI,Wote,Makueni,Wote-Nziu,Muambani,-1.798127,37.62359,Mixed,147014043321,18307118,JFLC,B.O.M,0.45Ha,Secondary,Sub county,Public,Not registered,,Day,Regular,92,69,161,4,5,0,0,0,1,9,1,10,MOEST/TSC,5,1,3,1,0,2,0,3,0,N/A,3.05,0718 287795
31,MAKUENI,MAKUENI,Mulaani,Makueni,Muvau/Kikumini,Senda,-1.8818,37.64729,Mixed,147014043376,18307121,XQBN,B.O.M,2.50Ha,Secondary,Sub county,Public,Registered,,Day,Regular,61,89,150,4,2,0,0,0,2,6,2,8,"DQASO,CSO,Catholic Diocese & KSSHA",6,4,0,1,0,6,0,6,0,N/A,3.242,0722 694977
32,MAKUENI,MAKUENI,Mukuyuni,Kaiti,Ukia,ACK Ukia,-1.761009,37.503313,Mixed,147014043310,18307211,J4FU,ACK Church,0.719Ha,Secondary,Sub county,Public,Registered,,Day,Regular,133,110,243,3,4,0,0,2,2,7,4,11,"CSO,DQASO & Auditors",7,4,0,1,1,5,0,5,0,N/A,4.066,0725 225649
33,MAKUENI,MAKUENI,Mukuyuni,Kaiti,Ukia/Iuani,Kyuasini ,-1.787081,37.4737,Mixed,147014043146,18307207,EEUR,Catholic Church,0.68Ha,Secondary,Sub county,Public,Registered,,Day & Boarding,Regular,222,143,365,7,8,0,0,1,1,15,2,17,"QASO, County QASO,CSO,Director,County schools & Auditors",9,10,0,2,0,12,0,8,0,N/A,4.33,0716 154872
34,MAKUENI,MAKUENI,Mukuyuni,Kaiti,Ukia/Iuani,Makuli ACK,-1.801658,37.493345,Mixed,147014043245,18307209,NRZ4,A.C.K Church,3.2376,Secondary,Sub county,Public,Registered,,Day,Regular,29,47,76,4,4,0,0,2,0,8,2,10,"QASO,County QASO, CSO, Director, County Schools & Auditor",3,0,4,0,1,2,0,2,0,N/A,3.273,0728 408857
35,MAKUENI,MAKUENI,Mukuyuni,Kaiti,Ukia/Iuani,St. Peters Makongo,0,0,Mixed,14701173132,18307259,E2HB,Catholic Church,0.73Ha,Secondary,Sub county,Public,Registered,,Day,Regular,38,58,96,2,0,0,0,3,2,2,5,7,CSO & Quality Assurance,1,3,0,0,0,3,0,3,0,N/A,New,0729 879258
36,MAKUENI,MAKUENI,Mukuyuni,Kaiti,Ukia/Iuani,Ukia Girls,-1.761075,37.503099,Girls,147014043025,18307202,NHPC,A.C.K Church,4.95Ha,Secondary,extra County,Public,Registered,,Boarding,Regular,0,852,852,16,10,0,0,1,0,26,1,27,"Tpad,Quality Assurance officer & KESSHA",22,14,0,5,0,0,0,58,0,N/A,   -,0722 853320
37,MAKUENI,MAKUENI,Kilala,Kaiti,UKIA,Nthukula ABC,-1.744117,37.539088,Mixed,147014043300,18307210,5R8T,A.B.C Church,0.74Ha,Secondary,Sub county,Public,Registered,,Day & Boarding,Regular,70,78,148,5,4,0,0,2,1,9,3,12,MOE & QASO,6,4,0,0,0,10,0,10,0,N/A,2.333,0701 194400
38,MAKUENI,MAKUENI,Kilala,Kaiti,Ukia,Iuani,-1.728512,37.524217,Mixed,147014043095,18307205,DSJ9,A.B.C Church,1.5Ha,Secondary,Sub county,Public,Registered,,Day & Boarding,Regular,121,132,253,10,5,0,0,1,0,15,1,17,SCDE & CSO,10,8,0,2,0,8,0,10,0,N/A,4.571,0727 683662
39,MAKUENI,MAKUENI,Wote,Makueni,Wote-Nziu,Nthangu ,-1.761999,37.618314,Mixed,147014043208,18307114,74YV,B.O.M,1.87Ha,Secondary,County,Public,Registered,,Day & Boarding,Regular,203,146,349,8,9,0,0,0,1,17,1,18,County CQASO,13,8,0,1,0,11,0,9,0,N/A,2.343,0727 056092
